rule_id,from,to,support,confidence,lift
331,"compassion,religion",charter for compassion,0.003450259,1,217.375
1561,"compassion,global issues,religion",charter for compassion,0.002875216,1,217.375
339,"disaster relief,TEDx",natural disaster,0.002875216,0.714285714,177.4489796
342,"disaster relief,global issues",natural disaster,0.002875216,0.714285714,177.4489796
1557,"astronomy,physics,science",dark matter,0.002300173,0.5,173.9
334,"compassion,global issues",charter for compassion,0.003450259,0.75,163.03125
466,"culture,personal growth",potential,0.002300173,0.8,154.5777778
369,"biology,brain",neurology,0.002300173,0.666666667,128.8148148
1587,"education,feminism,women",yesallwomen,0.002300173,0.666666667,128.8148148
330,"charter for compassion,religion",compassion,0.003450259,1,124.2142857
333,"charter for compassion,global issues",compassion,0.003450259,1,124.2142857
601,"love,sex",relationships,0.002300173,1,124.2142857
1560,"charter for compassion,global issues,religion",compassion,0.002875216,1,124.2142857
2042,"arts,culture,entertainment,music",conducting,0.002300173,0.5,124.2142857
491,"technology,terrorism",security,0.002875216,0.833333333,120.7638889
1605,"global issues,technology,terrorism",security,0.002300173,0.8,115.9333333
420,"education,feminism",yesallwomen,0.002300173,0.571428571,110.4126984
422,"education,women",yesallwomen,0.002300173,0.571428571,110.4126984
26,charter for compassion,compassion,0.004025302,0.875,108.6875
27,compassion,charter for compassion,0.004025302,0.5,108.6875
32,natural disaster,disaster relief,0.004025302,1,108.6875
64,protests,Egypt,0.002875216,0.625,108.6875
65,Egypt,protests,0.002875216,0.5,108.6875
338,"natural disaster,TEDx",disaster relief,0.002875216,1,108.6875
341,"global issues,natural disaster",disaster relief,0.002875216,1,108.6875
1583,"physics,science,universe",String theory,0.002875216,0.555555556,107.345679
1615,"exploration,technology,universe",Planets,0.002300173,0.666666667,105.3939394
419,"education,yesallwomen",feminism,0.002300173,1,102.2941176
1586,"education,women,yesallwomen",feminism,0.002300173,1,102.2941176
411,"crime,culture",prison,0.002300173,0.571428571,99.37142857
533,"mental health,TEDx",depression,0.002300173,0.8,99.37142857
2047,"exploration,science,space,technology",Planets,0.002875216,0.625,98.80681818
30,LGBT,gender,0.002300173,0.666666667,96.61111111
388,"business,choice",decision making,0.002300173,0.5,96.61111111
1623,"exploration,space,technology",Planets,0.003450259,0.6,94.85454545
465,"culture,potential",personal growth,0.002300173,0.8,92.74666667
579,"exploration,universe",Planets,0.002300173,0.571428571,90.33766234
518,"brain,philosophy",consciousness,0.002300173,0.666666667,89.17948718
1619,"exploration,science,space",Planets,0.002875216,0.555555556,87.82828283
699,"education,women",feminism,0.003450259,0.857142857,87.68067227
97,guitar,singer,0.002300173,0.5,86.95
583,"exploration,space",Planets,0.003450259,0.545454545,86.23140496
651,"biodiversity,environment",biosphere,0.002875216,0.625,83.60576923
535,"culture,mental health",depression,0.002300173,0.666666667,82.80952381
387,"business,decision making",choice,0.002300173,0.8,81.83529412
561,"Africa,health",AIDS,0.002875216,0.555555556,80.50925926
